,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,ride_date
85,78 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2030,Customer,1987,Male,27.0,2018-01-20
86,80 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2086,Customer,1987,Male,27.0,2017-08-29
87,5 minutes,5,Powell St BART Station (Market St at 5th St),62,Victoria Manalo Draves Park,1315,Subscriber,1985,Male,27.0,2019-01-18
88,6 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,5224,Subscriber,1983,Female,26.0,2017-07-09
89,11 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,192,Subscriber,2000,Female,26.0,2017-11-20
90,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1159,Subscriber,1986,Female,29.0,2018-06-30
91,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1602,Subscriber,1988,Male,26.0,2019-12-29
92,22 minutes,21,Montgomery St BART Station (Market St at 2nd St),139,Garfield Square (25th St at Harrison St),4716,Customer,1975,Male,26.0,2022-04-29
93,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1465,Subscriber,1999,Female,26.0,2019-12-22
94,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,685,Subscriber,1991,Female,29.0,2019-04-23
95,10 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,3109,Subscriber,2000,Female,29.0,2019-10-09
96,6 minutes,5,Powell St BART Station (Market St at 5th St),88,11th St at Bryant St,4383,Subscriber,1985,Male,29.0,2019-11-30
97,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),370,Jones St at Post St,4960,Subscriber,1988,Male,26.0,2017-04-10
98,18 minutes,16,Steuart St at Market St,116,Mississippi St at 17th St,5262,Subscriber,1989,Female,26.0,2022-04-29
99,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),355,23rd St at Tennessee St,4996,Subscriber,1994,Male,26.0,2022-04-29
100,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),77,11th St at Natoma St,4799,Subscriber,1987,Male,29.0,2019-07-30
101,10 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,1959,Customer,1990,Male,26.0,2018-04-10
