,FAMILLE,FILIERE,POSTE,FILIERE PMU,Cond TH,Masse V,Chaleur M,K (Pa.s),n,Alpha,T alpha (K),label,x,y
57,25852,TO,SC/KM1,Mixes_KMSC_TC,0.254,1200,1505,223723.40289009627,0.0931795651996642,741.2188235197457,330,1,-4.3648467,-0.47243068
58,25866,2R,KM,Mixes_KMSC_2R_AG_AV_GC,0.265,1161,1528,175708.28135391852,0.16841750424580615,965.4720606261496,330,1,-2.478599,-1.9038002
59,25882,PL,KM,Mixes_KMSC_PL,0.257,1101,1469,572641.9294459372,0.14523002768113746,2222.851350729856,330,5,0.16821636,4.7643924
60,25891,TO,KM,Mixes_KMSC_TC,0.293,1203,1482,240747.07628280585,0.1013584022770635,577.3774402121159,330,0,-4.5438375,0.9317211
61,25919,TO,KM,Mixes_KMSC_TC,0.264,1145,1536,236513.63742320883,0.11832800561963885,908.9343270485429,330,1,-3.228305,-2.081297
62,25921,TO,KM,Mixes_KMSC_TC,0.275,1175,1521,314113.65270309354,0.1331962339954944,1315.205517569529,330,1,-4.0767665,-2.0991447
63,26040,TO,KM,Mixes_KMSC_TC,0.306,1232,1465,295906.7680254392,0.07189051996852225,788.7730635120274,330,0,-5.0194855,1.3158517
64,26043,TO,KM,Mixes_KMSC_TC,0.254,1201,1511,200224.0,0.1485,517.278,330,1,-3.382369,-0.7507573
65,39762,TO,KM,Mixes_KMSC_TC,0.254,1162,1551,334000.0,0.196,1457.0,330,1,-2.5455663,-3.3881688
66,89244,PL,KM,Mixes_KMSC_PL,0.228,1150,1540,306594.0,0.179913,1038.59,330,4,-1.4286035,-3.0588295
67,93335,PL,KM,Mixes_KMSC_PL,0.232,1186,1548,273713.2133166089,0.12864078332266426,1237.014629812575,330,1,-3.442762,-3.0353832
68,93349,PL,KM,Mixes_KMSC_PL,0.224,1137,1548,505326.3033606281,0.08055454672666196,2461.494317976664,330,5,-0.90755355,5.301926
