,INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,Tuition
1109,Utah State University,367700,7,1084.0,0.3679,0.3339,0.96670379997524,17903.0,8652.0,0.904179409,8000,60534.36,11559.0
1110,University of Utah,367500,7,1130.0,0.2988,0.3351,0.81427632659766,19718.0,9971.0,0.869042851,12000,69474.52,13969.0
1111,Westminster College,368100,7,1124.0,0.2387,0.4572,0.95952023988006,1878.0,8363.0,0.902152642,18500,70649.66,22078.0
1112,Castleton University,368300,1,959.0,0.3592,0.7542,0.96772639691714,1480.0,6342.0,0.892787524,19500,61392.97,16679.0
1113,Champlain College,368400,1,1156.0,0.2254,0.5794,0.66171469482727,2530.0,8227.0,0.918803419,19500,72226.81,33674.0
1114,Johnson State College,368800,1,975.0,0.5028,0.7106,0.95176470588235,1361.0,6942.0,0.779069767,16038,60809.44,14852.0
1115,Lyndon State College,368900,1,937.0,0.3908,0.7191,0.98474576271186,1188.0,6114.0,0.808383234,15956.5,58494.41,14810.0
1116,Middlebury College,369100,1,1383.0,0.1334,0.247,0.17444606905859,2292.0,10741.0,0.900355872,14736,77169.17,23303.0
1117,Southern Vermont College,369300,1,894.0,0.5538,0.8440000000000001,0.6312625250500999,455.0,5344.0,PrivacySuppressed,22143,60680.57,19866.0
1118,University of Vermont,369600,1,1211.0,0.1743,0.4445,0.70851467911687,8618.0,9807.0,0.925672595,17750,74257.05,17414.0
1119,Averett University,370200,5,913.0,0.5164,0.7723,0.6053864168618199,1707.0,5951.0,0.69456067,17708,58009.31,20054.0
1120,Bluefield College,370300,5,923.0,0.4946,0.7457,0.93273542600896,820.0,4828.0,0.677595628,13460,55033.82,19778.0
1121,Bridgewater College,370400,5,1034.0,0.2717,0.7232,0.49269514401001,1223.0,6430.0,0.921409214,21500,65460.25,19722.0
1122,College of William and Mary,370500,5,1353.0,0.1105,0.2753,0.34463616907436995,5585.0,11066.0,0.913306452,18500,83534.79,18300.0
1123,Regent University,3091300,5,1051.0,0.4716,0.7425,0.84108298999411,13.0,7528.0,0.634686347,11145,64029.38,17986.0
1124,Christopher Newport University,370600,5,1155.0,0.1523,0.4949,0.6010046158023299,5101.0,8263.0,0.900347625,20500,79798.8,22618.0
1125,Emory & Henry College,370900,5,980.0,0.3854,0.7381,0.7637362637362599,975.0,6243.0,0.907834101,18125,53554.3,20166.0
1126,Eastern Mennonite University,370800,5,1009.0,0.3297,0.7473,0.6171497584540999,1086.0,6003.0,0.927350427,15000,59648.45,21344.0
1127,Ferrum College,371100,5,881.0,0.5706,0.9042,0.72947019867549,914.0,6037.0,0.838235294,15000,59937.19,17798.0
1128,George Mason University,374900,5,1153.0,0.2658,0.4429,0.6886856830899399,15185.0,10612.0,0.869641809,16000,95275.15,19245.0
1129,Hampden-Sydney College,371300,5,1112.0,0.1982,0.6072,0.5479228889492199,976.0,8091.0,0.862745098,22160,68823.49,27154.0
1130,Hampton University,371400,5,1020.0,0.3857,0.6729,0.6904854747514101,4891.0,6256.0,0.621112158,21500,65714.12,28272.0
1131,Hollins University,371500,5,1124.0,0.4597,0.7013,0.60994178235557,806.0,6796.0,0.708333333,19000,65801.0,17408.0
1132,James Madison University,372100,5,1134.0,0.1463,0.3907,0.72573347637483,14280.0,8315.0,0.935210312,18015,81580.49,19669.0
1133,Liberty University,2053000,5,1070.0,0.4988,0.6656,0.21564901095308,5403.0,4594.0,0.748647024,12500,62401.61,23815.0
1134,Longwood University,371900,5,985.0,0.2315,0.5411,0.78901611535199,3387.0,7258.0,0.916067146,19331,69841.16,19650.0
1135,Lynchburg College,372000,5,1014.0,0.3267,0.6867,0.6940602115540999,1748.0,7337.0,0.793650794,22500,73876.57,21592.0
1136,Mary Baldwin University,372300,5,1009.0,0.5791,0.8285,0.97080028839221,1388.0,6689.0,0.721068249,18750,62187.09,18653.0
1137,University of Mary Washington,374600,5,1110.0,0.16699999999999998,0.4447,0.8265177445505301,4103.0,7683.0,0.913862719,15000,83782.23,20186.0
1138,Marymount University,372400,5,999.0,0.2708,0.5709,0.6847988077496199,2004.0,8249.0,0.866438356,20832,89815.48,25146.0
1139,Norfolk State University,376500,5,808.0,0.6296,0.7629,0.78936605316973,5890.0,7907.0,0.420982736,24772,56695.39,13258.0
1140,Old Dominion University,372800,5,1020.0,0.3653,0.5682,0.8311251314405799,12786.0,8963.0,0.705342903,16221,63797.48,15935.0
1141,Randolph-Macon College,373300,5,1098.0,0.2389,0.67,0.6637466307277601,1171.0,8001.0,0.889344262,24250,76295.38,25266.0
1142,Randolph College,373400,5,1014.0,0.2904,0.643,0.8053024026512,741.0,7731.0,0.78,19000,68832.25,24215.0
1143,University of Richmond,374400,5,1337.0,0.1817,0.3906,0.31111556580134003,3652.0,11913.0,0.828096118,19500,83716.34,23329.0
1144,Roanoke College,373600,5,1092.0,0.2546,0.6772,0.72462427745664,1677.0,7447.0,0.889108911,23250,74630.57,27985.0
