,Unnamed: 0,School Name,City,State,District Name,Model Selected,Award_Amount,Region
600,619,TREXLER MS,ALLENTOWN,PA,ALLENTOWN CITY SD,Transformation,250000,Northeast
601,620,UNIVERSITY CITY HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Turnaround,923999,Northeast
602,621,SMEDLEY FRANKLIN SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,362773,Northeast
603,622,PENN WOOD HS - GREEN AVE CAMPUS,LANSDOWNE,PA,WILLIAM PENN SD,Transformation,626150,Northeast
604,623,HARRISON-MORTON MS,ALLENTOWN,PA,ALLENTOWN CITY SD,Transformation,350000,Northeast
605,624,WEST PHILADELPHIA HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,671142,Northeast
606,625,HARRITY WILLIAM F SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,980283,Northeast
607,626,ACADEMY PARK HS,SHARON HILL,PA,SOUTHEAST DELCO SD,Transformation,958375,Northeast
608,627,WEST PHILA. ACHIEVEMENT CES,PHILADELPHIA,PA,WEST PHILA. ACHIEVEMENT CES,Transformation,318875,Northeast
609,628,FRANKFORD HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,792001,Northeast
610,629,MCKEESPORT AREA SHS,MC KEESPORT,PA,MCKEESPORT AREA SD,Transformation,10000,Northeast
611,630,OLIVER HS,PITTSBURGH,PA,PITTSBURGH SD,Transformation,542588,Northeast
612,631,VAUX ROBERTS HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Turnaround,466665,Northeast
613,632,CAREER TECHNOLOGY ACADEMY,HARRISBURG,PA,HARRISBURG CITY SD,Closure,300000,Northeast
614,633,CLEMENTE ROBERTO MS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Turnaround,333327,Northeast
615,634,FELS SAMUEL HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,974132,Northeast
616,635,LOUIS E DIERUFF HS,ALLENTOWN,PA,ALLENTOWN CITY SD,Transformation,500000,Northeast
617,636,ALLEN DR ETHEL SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Turnaround,247020,Northeast
618,637,FELTONVILLE INTERMEDIATE SCHOOL,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,244855,Northeast
619,638,PENN WOOD MS,DARBY,PA,WILLIAM PENN SD,Transformation,287500,Northeast
620,639,CENTRAL EL SCH,ALLENTOWN,PA,ALLENTOWN CITY SD,Transformation,650000,Northeast
621,640,SOUTH PHILADELPHIA HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,579958,Northeast
622,641,OLNEY HS WEST,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,272245,Northeast
623,642,BRASHEAR HS,PITTSBURGH,PA,PITTSBURGH SD,Transformation,267754,Northeast
624,643,EDISON HS/FAREIRA SKILLS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,10000,Northeast
625,644,MCCASKEY CAMPUS,LANCASTER,PA,LANCASTER SD,Transformation,616432,Northeast
626,645,WESTINGHOUSE HS,PITTSBURGH,PA,PITTSBURGH SD,Transformation,606437,Northeast
627,646,STETSON JOHN B MS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,888708,Northeast
628,647,DUQUESNE CONSOLIDATED SCH,DUQUESNE,PA,DUQUESNE CITY SD,Transformation,523313,Northeast
629,648,DAROFF SAMUEL SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,658247,Northeast
630,649,BLUFORD GUION EL SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,907129,Northeast
631,650,WILLIAM ALLEN HS,ALLENTOWN,PA,ALLENTOWN CITY SD,Transformation,350000,Northeast
632,651,CLYMER GEORGE SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,392068,Northeast
633,652,MANN WILLIAM B SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Restart,794021,Northeast
634,653,TURKEYFOOT VALLEY AREA JSHS,CONFLUENCE,PA,TURKEYFOOT VALLEY AREA SD,Transformation,286500,Northeast
635,654,PHILADELPHIA MONTESSORI CS,PHILADELPHIA,PA,PHILADELPHIA MONTESSORI CS,Transformation,305763,Northeast
636,655,GRATZ SIMON HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,508486,Northeast
637,656,PENN HILLS SHS,PITTSBURGH,PA,PENN HILLS SD,Transformation,109958,Northeast
638,657,KING M L EL SCH,PITTSBURGH,PA,PITTSBURGH SD,Transformation,234233,Northeast
639,658,LINCOLN HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,Transformation,10000,Northeast
640,659,PERRY TRADITIONAL ACADEMY,PITTSBURGH,PA,PITTSBURGH SD,Transformation,320412,Northeast
641,660,REYNOLDS MS,LANCASTER,PA,LANCASTER SD,Transformation,531891,Northeast
642,667,RIDGELAND MIDDLE,RIDGELAND,SC,JASPER 01,Transformation,573338,South
643,668,J V MARTIN JR HIGH,DILLON,SC,DILLON 02,Transformation,908486,South
644,669,DENMARK-OLAR MIDDLE,DENMARK,SC,BAMBERG 02,Transformation,571626,South
645,670,KINGSTREE JR HIGH,KINGSTREE,SC,WILLIAMSBURG 01,Transformation,639839,South
646,671,EAU CLAIRE HIGH,COLUMBIA,SC,RICHLAND 01,Transformation,717125,South
647,672,ESTILL HIGH,ESTILL,SC,HAMPTON 02,Transformation,502925,South
648,673,MANNING JUNIOR HIGH,MANNING,SC,CLARENDON 02,Transformation,672451,South
649,674,DENMARK OLAR HIGH,DENMARK,SC,BAMBERG 02,Transformation,571626,South
650,675,WHITLOCK JR HIGH,SPARTANBURG,SC,SPARTANBURG 07,Closure,254323,South
651,676,WEST LEE ELEM,REMBERT,SC,LEE 01,Transformation,698507,South
652,677,ESTILL MIDDLE,ESTILL,SC,HAMPTON 02,Transformation,503608,South
653,678,N CHARLESTON HIGH,NORTH CHARLESTON,SC,CHARLESTON 01,Transformation,756937,South
654,679,ALLENDALE-FAIRFAX MIDDLE,FAIRFAX,SC,ALLENDALE 01,Transformation,449430,South
655,680,CARVER JR HIGH,SPARTANBURG,SC,SPARTANBURG 07,Transformation,126267,South
656,681,HARDEEVILLE MIDDLE/HIGH,HARDEEVILLE,SC,JASPER 01,Transformation,579145,South
657,682,CAROLINA HIGH,GREENVILLE,SC,GREENVILLE 01,Transformation,905959,South
658,683,MORNINGSIDE MIDDLE,NORTH CHARLESTON,SC,CHARLESTON 01,Transformation,712019,South
659,684,FAIRFAX ELEM,FAIRFAX,SC,ALLENDALE 01,Transformation,411971,South
660,685,C A JOHNSON PREPATORY ACAD,COLUMBIA,SC,RICHLAND 01,Transformation,717125,South
661,687,FAMILY IMMERSION CENTER MIDDLE - 53,SIOUX FALLS,SD,SIOUX FALLS SCHOOL DISTRICT 49-5,Turnaround,168131,Midwest
662,688,NEW UNDERWOOD HIGH SCHOOL - 01,NEW UNDERWOOD,SD,NEW UNDERWOOD SCHOOL DISTRICT 51-3,Transformation,362759,Midwest
663,689,NORTHSIDE HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Turnaround,267249,South
664,690,HAMILTON HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Transformation,274487,South
665,691,HOWARD ACADEMY OF ACADEMICS TECHNOLOGY,CHATTANOOGA,TN,HAMILTON COUNTY SCHOOL DISTRCT,Turnaround,629999,South
666,692,TREZEVANT HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Transformation,306934,South
667,693,FRAYSER MIDDLE/ HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Transformation,248250,South
668,694,HIXSON HIGH SCHOOL,HIXSON,TN,HAMILTON COUNTY SCHOOL DISTRCT,Transformation,620296,South
669,695,SHEFFIELD HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Turnaround,376370,South
670,696,MANASSAS HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Turnaround,269863,South
671,697,MOUNT PLEASANT HIGH SCHOOL,MT PLEASANT,TN,MAURY COUNTY SCHOOL DISTRICT,Transformation,736026,South
672,698,RALEIGH EGYPT MIDDLE SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Turnaround,103092,South
673,699,KINGSBURY MIDDLE/HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,Transformation,259513,South
674,700,AUSTIN EAST HIGH/MAGNET SCHOOL,KNOXVILLE,TN,KNOX COUNTY SCHOOL DISTRICT,Turnaround,905629,South
675,749,ODYSSEY ELEMENTARY,OGDEN,UT,OGDEN DISTRICT,Transformation,549444,West
676,750,BLUFF SCHOOL,BLUFF,UT,SAN JUAN DISTRICT,Transformation,278779,West
677,751,JAMES MADISON ELEMENTARY,OGDEN,UT,OGDEN DISTRICT,Transformation,549444,West
678,752,NORTHWEST MIDDLE,SALT LAKE CITY,UT,SALT LAKE DISTRICT,Transformation,806790,West
679,753,DEE SCHOOL,OGDEN,UT,OGDEN DISTRICT,Transformation,549444,West
680,754,GLENDALE MIDDLE,SALT LAKE CITY,UT,SALT LAKE DISTRICT,Transformation,806790,West
681,755,GRANGER HIGH,WEST VALLEY CITY,UT,GRANITE DISTRICT,Transformation,710934,West
682,756,FRED D. THOMPSON MIDDLE,RICHMOND,VA,RICHMOND CITY PBLC SCHS,Transformation,501500,South
683,757,LAKE TAYLOR MIDDLE,NORFOLK,VA,NORFOLK CITY PBLC SCHS,Transformation,135251,South
684,758,FRIES MIDDLE,FRIES,VA,GRAYSON CO PBLC SCHS,Transformation,500000,South
685,759,T.C. WILLIAMS HIGH,ALEXANDRIA,VA,ALEXANDRIA CITY PBLC SCHS,Transformation,10000,South
686,760,WESTSIDE ELEM.,ROANOKE,VA,ROANOKE CITY PBLC SCHS,Transformation,580100,South
687,761,PRINCE EDWARD COUNTY HIGH,FARMVILLE,VA,PRINCE EDWARD CO PBLC SCHS,Transformation,499586,South
688,762,CENTRAL HIGH,KING AND QUEEN C H,VA,KING AND QUEEN CO PBLC SCHS,Transformation,685661,South
689,763,LANGSTON FOCUS SCHOOL,DANVILLE,VA,DANVILLE CITY PBLC SCHS,Restart,946198,South
690,764,ARMSTRONG HIGH,RICHMOND,VA,RICHMOND CITY PBLC SCHS,Restart,859600,South
691,765,PEABODY MIDDLE,PETERSBURG,VA,PETERSBURG CITY PBLC SCHS,Transformation,460723,South
692,766,NEW BRIDGE SCHOOL,RICHMOND,VA,HENRICO CO PBLC SCHS,Closure,50000,South
693,767,COLONIAL BEACH HIGH,COLONIAL BEACH,VA,COLONIAL BEACH PBLC SCHS,Transformation,571500,South
694,768,ELLEN W. CHAMBLISS ELEM.,WAKEFIELD,VA,SUSSEX CO PBLC SCHS,Restart,400000,South
695,769,THOMAS C. BOUSHALL MIDDLE,RICHMOND,VA,RICHMOND CITY PBLC SCHS,Restart,613340,South
696,770,RUFFNER MIDDLE,NORFOLK,VA,NORFOLK CITY PBLC SCHS,Transformation,135542,South
697,771,VA. RANDOLPH COMM. HIGH,GLEN ALLEN,VA,HENRICO CO PBLC SCHS,Closure,50000,South
698,772,JAMES S. RUSSELL MIDDLE,LAWRENCEVILLE,VA,BRUNSWICK CO PBLC SCHS,Transformation,490820,South
699,773,SUSSEX CENTRAL MIDDLE,SUSSEX,VA,SUSSEX CO PBLC SCHS,Restart,529167,South
700,774,MOUNT ABRAHAM UHSD #28,BRISTOL,VT,MOUNT ABRAHAM UHSD #28,Transformation,230110,Northeast
701,775,NORTHFIELD ELEMENTARY SCHOOL,NORTHFIELD,VT,NORTHFIELD SCHOOL DISTRICT,Transformation,215600,Northeast
702,776,H. O. WHEELER SCHOOL,BURLINGTON,VT,BURLINGTON SCHOOL DISTRICT,Transformation,368200,Northeast
703,777,LAMOILLE UHSD #18,HYDE PARK,VT,LAMOILLE UHSD #18,Transformation,242458,Northeast
704,778,WINOOSKI HIGH SCHOOL,WINOOSKI,VT,WINOOSKI SCHOOL DISTRICT,Transformation,166477,Northeast
705,779,ST. JOHNSBURY SCHOOL,ST JOHNSBURY,VT,SAINT JOHNSBURY SCHOOL DISTRICT,Transformation,380045,Northeast
706,780,JOHNSON ELEMENTARY SCHOOL,JOHNSON,VT,JOHNSON SCHOOL DISTRICT,Transformation,192559,Northeast
707,781,WINDSOR HIGH SCHOOL,WINDSOR,VT,WINDSOR SCHOOL DISTRICT,Transformation,257889,Northeast
708,782,RUTLAND SENIOR HIGH SCHOOL,RUTLAND,VT,RUTLAND CITY SCHOOL DISTRICT,Transformation,382364,Northeast
709,783,FAIR HAVEN UHSD #16,FAIR HAVEN,VT,FAIR HAVEN UHSD #16,Transformation,314781,Northeast
710,784,STEWART,TACOMA,WA,TACOMA SCHOOL DISTRICT,Turnaround,152512,West
711,785,SUNNYSIDE HIGH SCHOOL,SUNNYSIDE,WA,SUNNYSIDE SCHOOL DISTRICT,Transformation,162541,West
712,786,TULALIP ELEMENTARY,MARYSVILLE,WA,MARYSVILLE SCHOOL DISTRICT,Turnaround,734480,West
713,787,CASCADE MIDDLE SCHOOL,SEATTLE,WA,HIGHLINE SCHOOL DISTRICT,Transformation,730000,West
714,788,ADAMS ELEMENTARY SCHOOL,YAKIMA,WA,YAKIMA SCHOOL DISTRICT,Transformation,116293,West
715,789,HAWTHORNE ELEMENTARY SCHOOL,SEATTLE,WA,SEATTLE PUBLIC SCHOOLS,Transformation,533531,West
716,790,MARYSVILLE MIDDLE SCHOOL,MARYSVILLE,WA,MARYSVILLE SCHOOL DISTRICT,Transformation,109526,West
717,791,GRANDVIEW MIDDLE SCHOOL,GRANDVIEW,WA,GRANDVIEW SCHOOL DISTRICT,Transformation,10000,West
718,792,WELLPINIT ELEMENTARY SCHOOL,WELLPINIT,WA,WELLPINIT SCHOOL DISTRICT,Transformation,178996,West
719,793,JASON LEE,TACOMA,WA,TACOMA SCHOOL DISTRICT,Transformation,100573,West
720,794,HIGH POINT ELEMENTARY SCHOOL,SEATTLE,WA,SEATTLE PUBLIC SCHOOLS,Transformation,452925,West
721,795,MONTICELLO MIDDLE SCHOOL,LONGVIEW,WA,LONGVIEW SCHOOL DISTRICT,Transformation,515546,West
722,796,STANTON ALTERNATIVE SCHOOL,YAKIMA,WA,YAKIMA SCHOOL DISTRICT,Transformation,945312,West
723,797,ANGELO GIAUDRONE MIDDLE SCHOOL,TACOMA,WA,TACOMA SCHOOL DISTRICT,Turnaround,138656,West
724,798,HUNT,TACOMA,WA,TACOMA SCHOOL DISTRICT,Closure,95320,West
725,799,CLEVELAND HIGH SCHOOL,SEATTLE,WA,SEATTLE PUBLIC SCHOOLS,Transformation,756677,West
726,800,CHINOOK MIDDLE SCHOOL,SEATAC,WA,HIGHLINE SCHOOL DISTRICT,Transformation,730000,West
727,801,WASHINGTON MIDDLE SCHOOL,YAKIMA,WA,YAKIMA SCHOOL DISTRICT,Transformation,115268,West
728,802,FOSTER & WILLIAMS HIGH SCHOOL OF THE VISUAL ARTS,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Closure,10000,Midwest
729,803,DUBOIS HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Closure,10000,Midwest
730,804,CUSTER HIGH,MILWAUKEE,WI,MILWAUKEE SCHOOL DISTRICT,Restart,650093,Midwest
