,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,org_idx,org_dummy,features
3850,6,10,4,AA,629,ORD,20.67,270,215.0,2943.0,0.0,"(7,[0],[1.0])",[2943.0]
3851,9,31,5,WN,981,SMF,20.25,80,-11.0,639.0,4.0,"(7,[4],[1.0])",[639.0]
3852,7,24,0,OO,5841,ORD,10.2,51,-8.0,187.0,0.0,"(7,[0],[1.0])",[187.0]
3853,2,21,5,WN,507,SMF,20.0,85,-2.0,600.0,4.0,"(7,[4],[1.0])",[600.0]
3854,4,13,2,AA,874,ORD,19.0,140,24.0,1395.0,0.0,"(7,[0],[1.0])",[1395.0]
3855,2,29,6,UA,1510,SFO,8.67,117,-6.0,1048.0,1.0,"(7,[1],[1.0])",[1048.0]
3856,4,1,4,OO,6597,SFO,18.42,58,,309.0,1.0,"(7,[1],[1.0])",[309.0]
3857,2,6,4,UA,212,ORD,7.17,88,-16.0,761.0,0.0,"(7,[0],[1.0])",[761.0]
3858,1,2,6,WN,1644,SFO,13.25,85,143.0,719.0,1.0,"(7,[1],[1.0])",[719.0]
3859,0,22,2,AA,2098,ORD,16.0,135,84.0,1395.0,0.0,"(7,[0],[1.0])",[1395.0]
3860,2,10,1,OO,3864,TUS,6.35,114,-4.0,967.0,7.0,"(7,[],[])",[967.0]
3861,10,12,3,B6,61,JFK,12.5,183,-17.0,1720.0,2.0,"(7,[2],[1.0])",[1720.0]
3862,4,11,0,US,784,SFO,22.67,294,-22.0,3695.0,1.0,"(7,[1],[1.0])",[3695.0]
3863,8,26,5,US,343,ORD,7.58,225,13.0,2317.0,0.0,"(7,[0],[1.0])",[2317.0]
3864,3,2,3,US,514,SJC,13.83,83,22.0,621.0,5.0,"(7,[5],[1.0])",[621.0]
3865,10,1,6,OO,5570,SFO,17.67,82,106.0,422.0,1.0,"(7,[1],[1.0])",[422.0]
3866,10,12,3,WN,2621,SMF,6.0,145,-10.0,1464.0,4.0,"(7,[4],[1.0])",[1464.0]
3867,7,11,1,AA,21,JFK,19.25,370,39.0,3983.0,2.0,"(7,[2],[1.0])",[3983.0]
3868,11,7,0,OO,5903,ORD,20.0,112,33.0,946.0,0.0,"(7,[0],[1.0])",[946.0]
3869,10,14,5,UA,604,ORD,8.08,107,18.0,985.0,0.0,"(7,[0],[1.0])",[985.0]
3870,9,30,4,OO,5915,SFO,22.7,92,20.0,726.0,1.0,"(7,[1],[1.0])",[726.0]
3871,9,15,3,OO,6459,ORD,12.1,49,60.0,257.0,0.0,"(7,[0],[1.0])",[257.0]
3872,7,4,1,UA,48,OGG,22.67,311,-28.0,4001.0,6.0,"(7,[6],[1.0])",[4001.0]
3873,10,12,3,AA,707,LGA,7.08,255,,2235.0,3.0,"(7,[3],[1.0])",[2235.0]
3874,5,29,0,UA,573,SFO,8.73,98,103.0,719.0,1.0,"(7,[1],[1.0])",[719.0]
3875,1,22,5,OO,5792,SFO,14.92,120,-18.0,744.0,1.0,"(7,[1],[1.0])",[744.0]
3876,1,22,5,WN,1172,SMF,6.17,110,-13.0,1041.0,4.0,"(7,[4],[1.0])",[1041.0]
3877,2,3,1,HA,30,OGG,15.83,325,252.0,4249.0,6.0,"(7,[6],[1.0])",[4249.0]
3878,3,29,2,AA,371,LGA,20.25,145,101.0,1180.0,3.0,"(7,[3],[1.0])",[1180.0]
3879,11,17,3,WN,2851,SMF,20.75,115,135.0,974.0,4.0,"(7,[4],[1.0])",[974.0]
3880,2,27,4,UA,624,ORD,18.0,106,,985.0,0.0,"(7,[0],[1.0])",[985.0]
3881,11,31,3,UA,293,ORD,8.03,278,9.0,2799.0,0.0,"(7,[0],[1.0])",[2799.0]
3882,0,16,3,UA,1454,ORD,13.25,156,20.0,1629.0,0.0,"(7,[0],[1.0])",[1629.0]
3883,9,16,4,OH,6447,LGA,8.83,119,0.0,742.0,3.0,"(7,[3],[1.0])",[742.0]
3884,10,23,0,AA,301,LGA,6.0,150,-12.0,1180.0,3.0,"(7,[3],[1.0])",[1180.0]
3885,1,13,3,OO,5421,SMF,6.37,113,-4.0,600.0,4.0,"(7,[4],[1.0])",[600.0]
3886,7,13,3,UA,567,SFO,20.48,92,3.0,599.0,1.0,"(7,[1],[1.0])",[599.0]
3887,5,17,2,AA,780,ORD,6.25,170,27.0,1926.0,0.0,"(7,[0],[1.0])",[1926.0]
3888,7,6,3,OH,5585,JFK,9.0,100,6.0,296.0,2.0,"(7,[2],[1.0])",[296.0]
3889,6,30,3,AA,889,ORD,17.17,250,22.0,2808.0,0.0,"(7,[0],[1.0])",[2808.0]
3890,6,11,5,B6,701,JFK,23.98,222,17.0,2570.0,2.0,"(7,[2],[1.0])",[2570.0]
