,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,org_idx,org_dummy,features
3502,10,17,1,OO,6761,ORD,20.32,101,93.0,750.0,0.0,"(7,[0],[1.0])",[750.0]
3503,10,17,1,UA,253,ORD,18.95,157,-18.0,1429.0,0.0,"(7,[0],[1.0])",[1429.0]
3504,10,17,1,WN,3499,SJC,17.08,80,-9.0,671.0,5.0,"(7,[5],[1.0])",[671.0]
3505,10,18,2,AA,85,JFK,14.92,390,-51.0,4162.0,2.0,"(7,[2],[1.0])",[4162.0]
3506,10,18,2,AA,1787,JFK,15.5,190,20.0,1617.0,2.0,"(7,[2],[1.0])",[1617.0]
3507,10,18,2,AA,2357,ORD,20.83,150,-36.0,1291.0,0.0,"(7,[0],[1.0])",[1291.0]
3508,10,18,2,OO,5602,SFO,8.58,45,-6.0,138.0,1.0,"(7,[1],[1.0])",[138.0]
3509,10,18,2,WN,211,SMF,6.0,85,-11.0,600.0,4.0,"(7,[4],[1.0])",[600.0]
3510,10,18,2,WN,215,SFO,8.25,245,3.0,2985.0,1.0,"(7,[1],[1.0])",[2985.0]
3511,10,19,3,AA,2309,ORD,8.75,160,-39.0,1291.0,0.0,"(7,[0],[1.0])",[1291.0]
3512,10,19,3,AA,2420,ORD,6.58,170,-23.0,1802.0,0.0,"(7,[0],[1.0])",[1802.0]
3513,10,19,3,B6,369,LGA,21.0,167,30.0,1666.0,3.0,"(7,[3],[1.0])",[1666.0]
3514,10,19,3,OO,5571,SFO,9.0,79,-5.0,422.0,1.0,"(7,[1],[1.0])",[422.0]
3515,10,19,3,OO,5703,SJC,16.83,67,132.0,377.0,5.0,"(7,[5],[1.0])",[377.0]
3516,10,19,3,OO,5836,ORD,8.18,51,-5.0,253.0,0.0,"(7,[0],[1.0])",[253.0]
3517,10,19,3,OO,5985,ORD,18.97,77,-25.0,520.0,0.0,"(7,[0],[1.0])",[520.0]
3518,10,19,3,OO,6150,SFO,17.55,81,49.0,584.0,1.0,"(7,[1],[1.0])",[584.0]
3519,10,19,3,OO,6352,SFO,19.05,117,46.0,1209.0,1.0,"(7,[1],[1.0])",[1209.0]
3520,10,19,3,UA,473,ORD,19.93,271,-16.0,2778.0,0.0,"(7,[0],[1.0])",[2778.0]
3521,10,19,3,UA,508,ORD,19.9,124,-24.0,1228.0,0.0,"(7,[0],[1.0])",[1228.0]
3522,10,20,4,AA,1605,ORD,16.75,270,7.0,2773.0,0.0,"(7,[0],[1.0])",[2773.0]
3523,10,20,4,OH,6799,JFK,12.28,163,10.0,1191.0,2.0,"(7,[2],[1.0])",[1191.0]
3524,10,20,4,OO,6356,SFO,21.07,102,52.0,964.0,1.0,"(7,[1],[1.0])",[964.0]
3525,10,20,4,OO,6760,ORD,11.18,76,-3.0,460.0,0.0,"(7,[0],[1.0])",[460.0]
3526,10,20,4,UA,766,ORD,21.58,114,-26.0,1001.0,0.0,"(7,[0],[1.0])",[1001.0]
3527,10,21,5,AA,597,ORD,18.17,185,78.0,1675.0,0.0,"(7,[0],[1.0])",[1675.0]
3528,10,21,5,AA,1165,JFK,7.5,200,54.0,1754.0,2.0,"(7,[2],[1.0])",[1754.0]
