,station_id,station_name,location
113,41230,47th-Dan Ryan,"(41.810318, -87.63094)"
114,41240,Addison-O'Hare,"(41.94738, -87.71906)"
115,41250,Central-Evanston,"(42.063987, -87.685617)"
116,41260,Austin-Lake,"(41.887293, -87.774135)"
117,41270,43rd,"(41.816462, -87.619021)"
118,41280,Jefferson Park,"(41.970634, -87.760892)"
119,41290,Kimball,"(41.967901, -87.713065)"
120,41300,Loyola,"(42.001073, -87.661061)"
121,41310,Paulina,"(41.943623, -87.670907)"
122,41320,Belmont-North Main,"(41.939751, -87.65338)"
123,41330,Montrose-O'Hare,"(41.961539, -87.743574)"
124,41340,LaSalle,"(41.875568, -87.631722)"
125,41350,Oak Park-Lake,"(41.886988, -87.793783)"
126,41360,California-Lake,"(41.88422, -87.696234)"
127,41380,Bryn Mawr,"(41.983504, -87.65884)"
128,41400,Roosevelt,"(41.867405, -87.62659)"
129,41410,Chicago/Milwaukee,"(41.896075, -87.655214)"
130,41420,Addison-North Main,"(41.947428, -87.653626)"
131,41430,87th,"(41.735372, -87.624717)"
132,41440,Addison-Brown,"(41.947028, -87.674642)"
133,41450,Chicago/State,"(41.896671, -87.628176)"
134,41460,Irving Park-Brown,"(41.954521, -87.674868)"
135,41480,Western-Brown,"(41.966163, -87.688502)"
136,41490,Harrison,"(41.874039, -87.627479)"
137,41500,Montrose-Brown,"(41.961756, -87.675047)"
138,41510,Morgan-Lake,"(41.885586, -87.652193)"
139,41660,Lake/State,"(41.884809, -87.627813)"
140,41670,Conservatory,"(41.884904, -87.716523)"
141,41680,Oakton-Skokie,"(42.02624348, -87.74722084)"
142,41690,Cermak-McCormick Place,"(41.853115, -87.626402)"
143,41700,Washington/Wabash,"(41.88322, -87.626189)"
