,id,title,popularity,release_date
0,329,Jurassic Park,40.413191,1993-06-11
1,330,The Lost World: Jurassic Park,2.502487,1997-05-23
2,135397,Jurassic World,418.708552,2015-06-09
3,331,Jurassic Park III,1.859364,2001-07-18
