date,EBAY
2014-01-02,0.017937955405505517
2014-01-03,0.0022681068415586134
2014-01-06,-0.02736532464230377
2014-01-07,-0.0066649482531303105
2014-01-08,-0.01720584585571249
2014-01-09,-0.023269778830418395
2014-01-10,-0.022257297686273315
2014-01-13,-0.015901158035519756
2014-01-14,-0.009001548596654797
2014-01-15,0.006678316546203929
2014-01-16,0.004545300460423703
2014-01-17,-0.00614516420834466
2014-01-21,0.011801207108664793
2014-01-22,0.017089408510388666
2014-01-23,0.027896703121120196
2014-01-24,0.017462778088973157
2014-01-27,-0.010722639986547641
2014-01-28,-0.004209758515612322
2014-01-29,-0.02155978611966107
2014-01-30,-0.0003561764326590782
2014-01-31,0.0007723193898343203
2014-02-03,-0.014406494830125703
2014-02-04,-0.005224778271314712
2014-02-05,0.0062042045817182635
2014-02-06,0.021022723320343484
2014-02-07,0.02282905418305794
2014-02-10,0.0052435244289846155
2014-02-11,0.013913327113759559
2014-02-12,0.022265245734806812
2014-02-13,0.02289921732000193
2014-02-14,0.01892690446485212
2014-02-18,0.024421545928420406
2014-02-19,0.015812581115707866
2014-02-20,0.019566498251053662
2014-02-21,0.012682843802134853
2014-02-24,0.0441801977619416
2014-02-25,0.03793323670811012
2014-02-26,0.05685600698063176
2014-02-27,0.06994211670776802
2014-02-28,0.07248641193704874
2014-03-03,0.058429598616247455
2014-03-04,0.06601435690131778
2014-03-05,0.05623348183069025
2014-03-06,0.05878923129277392
2014-03-07,0.04964128485237654
2014-03-10,0.03040410906275777
2014-03-11,0.01417466471629655
2014-03-12,0.018876985114369863
2014-03-13,-0.006510799038673047
2014-03-14,-0.007439182835209955
2014-03-17,0.0026375550435735772
2014-03-18,0.007868827467879124
2014-03-19,-0.004371388642185217
2014-03-20,-0.009618408246828107
2014-03-21,-0.014667458674083325
2014-03-24,-0.022520255789559122
2014-03-25,-0.02649629108963112
2014-03-26,-0.03822871629213398
2014-03-27,-0.04310684702993736
2014-03-28,-0.03978725970691402
2014-03-31,-0.036163585633968175
2014-04-01,-0.018762878287963414
2014-04-02,-0.02656382859711682
2014-04-03,-0.03841618622767581
2014-04-04,-0.044666082960093875
2014-04-07,-0.05954657978672661
2014-04-08,-0.022494300978107166
2014-04-09,-6.58863650696969e-05
2014-04-10,-0.031710221600851844
2014-04-11,-0.040405866746791815
2014-04-14,-0.027433516341950945
2014-04-15,-0.025307136889078232
2014-04-16,-0.007810703988051271
2014-04-17,-0.0004114962868589338
2014-04-21,0.0007670994636373189
2014-04-22,0.012167992916466525
2014-04-23,0.0033255738880841063
2014-04-24,0.002135172303887615
2014-04-25,-0.018010369825118572
2014-04-28,-0.018084073403244187
2014-04-29,-6.752868412154016e-05
2014-04-30,-0.04837504215257648
2014-05-01,-0.04761397447559814
2014-05-02,-0.039024839178852425
2014-05-05,-0.03734672236045016
2014-05-06,-0.0559109609298203
2014-05-07,-0.05942067585890926
2014-05-08,-0.06029269549135373
2014-05-09,-0.05149202993344159
2014-05-12,-0.03387912347986554
2014-05-13,-0.026618423881496694
2014-05-14,-0.023046253320980602
2014-05-15,-0.025582673654621756
2014-05-16,-0.010823234137390387
2014-05-19,-0.0006030416119117229
2014-05-20,-0.004527467212706221
2014-05-21,-0.003064426832509842
2014-05-22,-0.007395056816523332
2014-05-23,0.004890355576351914
2014-05-27,0.001710887530185159
2014-05-28,-0.022232921560282573
2014-05-29,-0.025651019960838413
2014-05-30,-0.012620541225402807
2014-06-02,-0.016001503925509142
2014-06-03,-0.015841468212877352
2014-06-04,-0.014719320382774407
2014-06-05,-0.012058563010865924
2014-06-06,-0.029566208284771068
2014-06-09,-0.03107286675846561
2014-06-10,-0.055364347995749394
2014-06-11,-0.04071754367622192
2014-06-12,-0.04323204026535369
2014-06-13,-0.030961106938738974
2014-06-16,-0.028812242839183252
2014-06-17,-0.024233428846040867
2014-06-18,-0.009292465330121808
2014-06-19,-0.008177572529077191
2014-06-20,-0.011399729184509932
2014-06-23,-0.007593163151334351
2014-06-24,-0.0159668306477916
2014-06-25,-0.004874313843473416
2014-06-26,-0.00097783496039778
2014-06-27,0.012697070282398045
2014-06-30,0.012734572956432367
2014-07-01,0.022027663707957088
2014-07-02,0.02298500884343426
2014-07-03,0.030910482611060195
2014-07-07,0.025508465698285323
2014-07-08,0.012940336413525017
2014-07-09,0.025976192596749537
2014-07-10,0.011837875218492984
2014-07-11,0.03320843672060934
2014-07-14,0.023728017230631088
2014-07-15,0.014616422104170839
2014-07-16,0.010352131075452048
2014-07-17,0.01582026932097162
2014-07-18,0.02324507859359456
2014-07-21,0.025322583304488683
2014-07-22,0.029780756749642076
2014-07-23,0.03838927603273588
2014-07-24,0.04600313287972609
2014-07-25,0.032555454467622126
2014-07-28,0.03323673207534561
2014-07-29,0.03564879820424872
2014-07-30,0.033169867497829
2014-07-31,0.022606488374912435
2014-08-01,0.014845372527466974
2014-08-04,0.02322229650977917
2014-08-05,0.0240856547322077
2014-08-06,0.025513138099043785
2014-08-07,0.024205152877122757
2014-08-08,0.03220009061779079
2014-08-11,0.025175749495786694
2014-08-12,0.013507828674271733
2014-08-13,0.0014835389954152088
2014-08-14,-0.000606211018446376
2014-08-15,-0.007511913203898242
2014-08-18,0.0004163928907097416
2014-08-19,0.011408973136333427
2014-08-20,0.003739596713147803
2014-08-21,0.050366509869726024
2014-08-22,0.03980749635040859
2014-08-25,0.03699226240164499
2014-08-26,0.048842935548576105
2014-08-27,0.039608566720407835
2014-08-28,0.02739271574801983
2014-08-29,0.02578816807808046
2014-09-02,0.0119270580528267
