date,EBAY,NVDA,YHOO,AAPL
2010-06-03,22.18,12.7,15.43,263.11998700000004
2010-06-04,21.99,12.1,15.0,255.960011
2010-06-07,21.549999,11.5,14.94,250.940002
2010-06-08,21.69,11.18,14.79,249.330006
2010-06-09,21.78,10.91,14.69,243.200012
2010-06-10,22.28,11.35,15.1,250.510006
2010-06-11,22.649999,11.61,15.29,253.50999500000003
2010-06-14,22.209999,11.36,15.17,254.27999900000003
2010-06-15,22.39,11.92,15.65,259.690002
2010-06-16,22.13,11.77,15.49,267.249989
2010-06-17,22.099999,12.22,15.6,271.86998700000004
2010-06-18,22.159999,12.3,15.54,274.070011
2010-06-21,21.869998,12.01,15.21,270.170002
2010-06-22,21.559999,11.56,15.09,273.850006
2010-06-23,21.34,11.69,15.23,270.969994
2010-06-24,20.859998,11.11,14.83,268.999989
2010-06-25,20.949999,11.08,14.81,266.699989
2010-06-28,20.709998,11.1,14.73,268.299999
2010-06-29,19.689999,10.48,14.04,256.170002
2010-06-30,19.61,10.21,13.84,251.530003
2010-07-01,19.639999,10.38,14.09,248.48
2010-07-02,19.26,10.25,14.07,246.939991
2010-07-06,19.349999,10.14,14.13,248.62999
2010-07-07,19.81,10.63,14.4,258.670006
2010-07-08,19.889999,10.31,14.6,258.089993
2010-07-09,20.289999,10.35,14.89,259.61998700000004
2010-07-12,20.22,10.54,14.94,257.290001
2010-07-13,21.009999,10.92,15.52,251.799995
2010-07-14,21.109999,11.03,15.37,252.730003
2010-07-15,21.03,10.72,15.37,251.450001
2010-07-16,20.089999,10.05,14.9,249.900005
2010-07-19,20.399999,10.46,15.1,245.580013
2010-07-20,20.789999,10.72,15.2,251.890011
2010-07-21,20.17,10.37,13.91,254.239998
2010-07-22,20.939999,10.54,13.88,259.02
2010-07-23,21.089999,10.36,13.99,259.939995
2010-07-26,21.139999,10.55,14.15,259.280006
2010-07-27,21.039999,10.46,13.95,264.080009
2010-07-28,21.039999,10.13,13.87,260.959991
2010-07-29,20.77,9.13,13.76,258.10999300000003
2010-07-30,20.909998,9.19,13.88,257.25
2010-08-02,21.459999,9.18,14.0,261.849998
2010-08-03,20.97,8.94,13.94,261.93
2010-08-04,21.099999,9.32,14.18,262.980011
2010-08-05,21.07,9.44,14.16,261.700008
2010-08-06,21.449999,9.55,14.34,260.090012
2010-08-09,21.98,9.64,14.4,261.749996
2010-08-10,21.909999,9.24,14.35,259.409996
2010-08-11,21.249999,8.88,13.87,250.18999900000003
2010-08-12,21.59,8.96,13.85,251.790009
2010-08-13,21.499999,9.39,13.83,249.099987
2010-08-16,22.049999,9.15,13.79,247.640007
2010-08-17,22.349999,9.27,13.94,251.970013
2010-08-18,22.74,9.32,13.99,253.070011
2010-08-19,23.129998,9.88,13.85,249.880005
2010-08-20,23.369999,9.97,13.79,249.639999
2010-08-23,23.269999,9.82,13.65,245.799992
2010-08-24,22.869999,9.72,13.4,239.930004
2010-08-25,23.159999,9.92,13.26,242.889992
2010-08-26,22.73,9.8,13.21,240.27999900000003
2010-08-27,23.179998,10.12,13.43,241.620003
2010-08-30,23.129998,9.64,13.18,242.499996
2010-08-31,23.229998,9.33,13.11,243.10001
2010-09-01,24.029998000000006,9.4,13.37,250.330002
2010-09-02,24.059999,9.57,13.51,252.169991
2010-09-03,24.129998,9.9,13.62,258.770008
2010-09-07,23.529998000000006,9.99,13.53,257.810013
2010-09-08,24.569999,10.32,13.75,262.92001
2010-09-09,24.3,10.18,13.65,263.07
2010-09-10,24.1,10.07,13.68,263.410007
2010-09-13,24.3,10.64,13.73,267.039997
2010-09-14,24.25,10.54,13.63,268.059994
2010-09-15,24.19,10.56,14.27,270.21999
2010-09-16,23.9,10.57,14.19,276.569988
2010-09-17,24.219999,10.55,13.89,275.36998700000004
2010-09-20,24.65,10.71,13.86,283.230007
2010-09-21,24.739998,11.29,14.18,283.769993
2010-09-22,24.34,11.39,14.04,287.750004
2010-09-23,24.25,11.62,14.17,288.9199910000001
2010-09-24,24.739998,12.26,14.5,292.319988
2010-09-27,24.769999,12.0,14.28,291.159988
2010-09-28,24.869999,11.97,14.39,286.859997
2010-09-29,24.989998,11.88,14.34,287.369995
2010-09-30,24.4,11.68,14.17,283.749992
2010-10-01,24.459999,11.35,14.27,282.5200040000001
2010-10-04,24.079998,11.24,14.28,278.639996
2010-10-05,24.589998,11.32,14.61,288.939991
2010-10-06,24.45,10.78,14.52,289.1900100000001
2010-10-07,24.75,10.7,14.23,289.2199970000001
2010-10-08,24.61,10.86,14.49,294.069988
2010-10-11,24.29,10.81,14.41,295.360004
2010-10-12,24.45,11.02,14.43,298.539997
2010-10-13,24.869999,11.34,15.25,300.140007
2010-10-14,25.279999,11.16,15.93,302.30999
2010-10-15,25.679999,11.29,16.25,314.739994
2010-10-18,25.719999,11.36,15.93,317.999989
2010-10-19,25.529999,11.29,15.49,309.489994
2010-10-20,25.66,11.29,15.8,310.529991
2010-10-21,27.199998,11.09,15.97,309.520008
2010-10-22,28.07,11.8,16.309998999999998,307.470001
2010-10-25,27.93,11.91,16.4,308.839993
2010-10-26,28.749999,11.87,16.459999,308.049988
2010-10-27,29.28,12.04,16.42,307.830009
2010-10-28,29.719998,12.05,16.4,305.23999
2010-10-29,29.859999,12.02,16.49,300.98
2010-11-01,29.359999,12.04,16.15,304.179993
2010-11-02,30.069998,12.29,16.190001000000002,309.360004
2010-11-03,30.109999,12.38,16.17,312.800003
2010-11-04,30.149999,12.4,16.200001,318.270008
2010-11-05,30.869999,12.61,16.27,317.130009
2010-11-08,30.84,12.66,16.440001000000002,318.620003
2010-11-09,30.529998,12.59,16.969998999999998,316.079998
2010-11-10,30.929998,12.74,16.940001000000002,318.030003
2010-11-11,30.79,12.61,16.799999,316.649998
2010-11-12,30.14,13.26,16.549999,308.029987
2010-11-15,30.059999,13.1,16.6,307.040005
2010-11-16,29.769998,12.71,16.24,301.59
2010-11-17,30.14,12.92,16.15,300.499989
2010-11-18,30.569998,13.32,16.99,308.429996
2010-11-19,30.299999,13.75,16.57,306.730011
2010-11-22,30.64,13.76,16.559998999999998,313.3599890000001
2010-11-23,30.18,13.44,16.190001000000002,308.7300029999999
2010-11-24,31.209999,13.77,16.41,314.799995
2010-11-26,31.149999,13.6,16.219998999999998,315.0
2010-11-29,30.23,13.75,16.379998999999998,316.870003
2010-11-30,29.139999,13.61,15.82,311.150005
2010-12-01,29.259999,14.21,16.15,316.400005
2010-12-02,29.909999,14.38,16.33,318.150005
2010-12-03,29.609999,14.79,16.35,317.440002
2010-12-06,29.489999,14.51,16.33,320.149998
2010-12-07,29.999999,14.98,16.940001000000002,318.210007
2010-12-08,30.149999,15.11,17.02,321.009991
2010-12-09,30.349999,14.86,16.950001,319.760002
2010-12-10,30.69,14.95,17.01,320.559994
2010-12-13,30.28,14.57,16.700001,321.670006
2010-12-14,30.749999,14.59,16.629998999999998,320.290001
2010-12-15,30.19,14.27,16.450001,320.3599890000001
2010-12-16,30.529998,14.29,16.51,321.249996
2010-12-17,29.819998,14.37,16.379998999999998,320.610008
2010-12-20,29.58,14.31,16.280001000000002,322.209991
2010-12-21,28.649999,14.87,16.6,324.199997
2010-12-22,28.57,15.03,16.629998999999998,325.159992
2010-12-23,28.32,14.92,16.719998999999998,323.60001
2010-12-27,28.309998,15.0,16.48,324.680008
2010-12-28,28.349999,14.94,16.43,325.470013
2010-12-29,28.359998,14.94,16.610001,325.290009
2010-12-30,28.13,14.99,16.76,323.660011
2010-12-31,27.829999,15.4,16.629998999999998,322.560013
2011-01-03,28.68,15.394671968190854,16.75,329.57
2011-01-04,28.47,15.38934393638171,16.59,331.290012
2011-01-05,28.73,15.384015904572564,16.91,334.000008
2011-01-06,28.42,15.37868787276342,17.059998999999998,333.729988
2011-01-07,27.699999,15.373359840954274,16.9,336.120003
2011-01-10,28.259998,15.36803180914513,16.6,342.450001
2011-01-11,28.359998,15.362703777335984,16.58,341.639996
2011-01-12,28.83,15.35737574552684,16.65,344.420006
2011-01-13,28.709998,15.352047713717694,16.75,345.680008
2011-01-14,29.18,15.34671968190855,16.809998999999998,348.479992
2011-01-18,29.449999,15.341391650099403,16.5,340.650013
2011-01-19,29.099999,15.33606361829026,16.309998999999998,338.840012
2011-01-20,30.779998,15.330735586481113,16.23,332.680004
2011-01-21,30.019998,15.325407554671969,15.97,326.720001
2011-01-24,30.509999,15.320079522862823,16.09,337.449993
2011-01-25,30.909999,15.314751491053679,16.02,341.39999
2011-01-26,31.059999,15.309423459244533,15.57,343.850006
2011-01-27,30.959999,15.304095427435389,16.200001,343.209991
2011-01-28,30.309999,15.298767395626243,15.83,336.100002
2011-01-31,30.359999,15.293439363817098,16.120001000000002,339.319996
2011-02-01,31.64,15.288111332007952,16.379998999999998,345.030006
2011-02-02,31.879998,15.282783300198808,16.57,344.320004
2011-02-03,32.05,15.277455268389662,16.690001000000002,343.4400100000001
2011-02-04,32.209999,15.272127236580518,16.790001,346.5
2011-02-07,32.239998,15.266799204771372,16.799999,351.87999
2011-02-08,32.639998,15.261471172962228,16.6,355.200012
2011-02-09,31.95,15.256143141153082,16.43,358.16
2011-02-10,34.489999,15.250815109343936,16.620001000000002,354.539997
2011-02-11,34.51,15.245487077534792,16.85,356.85001
2011-02-14,33.86,15.240159045725646,16.889999,359.179996
2011-02-15,34.46,15.234831013916502,17.200001,359.900013
2011-02-16,34.46,15.229502982107356,17.76,363.129993
2011-02-17,34.689999,15.224174950298211,17.77,358.300003
2011-02-18,34.529999,15.218846918489065,17.66,350.560013
2011-02-22,33.649998,15.213518886679921,16.91,338.6099930000001
2011-02-23,32.85,15.208190854870775,16.58,342.619991
2011-02-24,33.089998,15.202862823061631,16.370001000000002,342.879997
2011-02-25,33.629999,15.197534791252485,16.5,348.160011
2011-02-28,33.51,15.19220675944334,16.4,353.210007
2011-03-01,32.289998,15.186878727634195,16.1,349.309998
2011-03-02,32.679999,15.18155069582505,16.629998999999998,352.119995
2011-03-03,32.929999,15.176222664015905,16.860001,359.560005
2011-03-04,32.009999,15.17089463220676,17.08,359.999989
2011-03-07,31.5,15.165566600397614,16.700001,355.3599890000001
2011-03-08,31.669999,15.16023856858847,16.940001000000002,355.759998
2011-03-09,31.329998,15.154910536779324,17.65,352.46999
2011-03-10,31.079998,15.14958250497018,17.059998999999998,346.6699910000001
2011-03-11,30.919999,15.144254473161034,17.42,351.990005
2011-03-14,30.769998,15.13892644135189,17.309998999999998,353.560001
2011-03-15,30.44,15.133598409542744,16.33,345.4299890000001
2011-03-16,29.73,15.1282703777336,15.91,330.01001
2011-03-17,29.949999,15.122942345924454,15.86,334.639996
2011-03-18,30.469998,15.117614314115308,16.030001000000002,330.669998
2011-03-21,30.579998,15.112286282306163,16.290001,339.299995
2011-03-22,30.219998,15.106958250497017,16.360001,341.200012
2011-03-23,30.669998,15.101630218687873,16.129998999999998,339.190006
